sdistrict,tot_p,rur_p,urb_p,urbanization,census_name,nfhs_name,matching_name
1,870354,765625,104729,12.03291994,kupwara,kupwara,TRUE
2,753745,655833,97912,12.99006959,badgam,badgam,TRUE
3,133487,87816,45671,34.21381857,leh (ladakh),leh,FALSE
4,140802,124464,16338,11.60352836,kargil,kargil,TRUE
5,476835,438205,38630,8.101334843,punch,punch,TRUE
6,642415,590101,52314,8.143334138,rajouri,rajouri,TRUE
7,616435,526722,89713,14.55352146,kathua,kathua,TRUE
8,1008039,825539,182500,18.10445826,baramula,baramula,TRUE
9,392232,326871,65361,16.6638622,bandipore,bandipore,TRUE
10,1236829,17313,1219516,98.6002107,srinagar,srinagar,TRUE
11,297446,250407,47039,15.81429907,ganderbal,ganderbal,TRUE
12,560440,479978,80462,14.35693384,pulwama,pulwama,TRUE
13,266215,249855,16360,6.145408786,shupiyan,shupiyan,TRUE
14,1078692,795805,282887,26.22500213,anantnag,anantnag,TRUE
15,424483,343870,80613,18.99086654,kulgam,kulgam,TRUE
16,409936,377247,32689,7.974171578,doda,doda,TRUE
17,283713,271902,11811,4.163009802,ramban,ramban,TRUE
18,230696,215831,14865,6.443544752,kishtwar,kishtwar,TRUE
19,554985,446777,108208,19.4974639,udhampur,udhampur,TRUE
20,314667,287671,26996,8.5792282,reasi,reasi,TRUE
21,1529958,764945,765013,50.00222228,jammu,jammu,TRUE
22,318898,265283,53615,16.81258584,samba,samba,TRUE
23,519080,482972,36108,6.956153194,chamba,chamba,TRUE
24,1510075,1423794,86281,5.713689717,kangra,kangra,TRUE
25,31564,31564,0,0,lahul & spiti,lahul and spiti,FALSE
26,437903,396512,41391,9.452093272,kullu,kullu,TRUE
27,999777,937140,62637,6.265097117,mandi,mandi,TRUE
28,454768,423338,31430,6.911216269,hamirpur,hamirpur,TRUE
29,521173,476260,44913,8.617675896,una,una,TRUE
30,381956,356827,25129,6.579030045,bilaspur,bilaspur,TRUE
31,580320,478173,102147,17.60184036,solan,solan,TRUE
32,529855,472690,57165,10.78880071,sirmaur,sirmaur,TRUE
33,814010,612659,201351,24.73569121,shimla,shimla,TRUE
34,84121,84121,0,0,kinnaur,kinnaur,TRUE
35,2298323,1639004,659319,28.68696001,gurdaspur,gurdaspur,TRUE
36,815168,532706,282462,34.65077137,kapurthala,kapurthala,TRUE
37,2193590,1032419,1161171,52.93473256,jalandhar,jalandhar,TRUE
38,1586625,1251656,334969,21.11204601,hoshiarpur,hoshiarpur,TRUE
39,612310,486894,125416,20.48243537,shahid bhagat singh nagar,shahid bhagat singh nagar,TRUE
40,600163,414681,185482,30.90527073,fatehgarh sahib,fatehgarh sahib,TRUE
41,3498739,1429031,2069708,59.15582729,ludhiana,ludhiana,TRUE
42,995746,768500,227246,22.82168344,moga,moga,TRUE
43,2029074,1476518,552556,27.23192944,firozpur,firozpur,TRUE
44,901896,649705,252191,27.96231495,muktsar,muktsar,TRUE
45,617508,400457,217051,35.14950414,faridkot,faridkot,TRUE
46,1388525,889308,499217,35.9530437,bathinda,bathinda,TRUE
47,769751,606147,163604,21.25414582,mansa,mansa,TRUE
48,1895686,1132406,763280,40.26405217,patiala,patiala,TRUE
49,2490656,1156045,1334611,53.58471824,amritsar,amritsar,TRUE
50,1119627,977832,141795,12.66448558,tarn taran,tarn taran,TRUE
51,684627,506820,177807,25.97136835,rupnagar,rupnagar,TRUE
52,994628,450017,544611,54.75524518,sahibzada ajit singh nagar,sahibzada ajit singh nagar,TRUE
53,1655169,1139204,515965,31.17294971,sangrur,sangrur,TRUE
54,595527,404842,190685,32.019539,barnala,barnala,TRUE
55,1055450,28991,1026459,97.25320953,chandigarh,chandigarh,TRUE
56,330086,305781,24305,7.363232612,uttarkashi,uttarkashi,TRUE
57,391605,332209,59396,15.16732422,chamoli,chamoli,TRUE
58,242285,232360,9925,4.096415379,rudraprayag,rudraprayag,TRUE
59,618931,548792,70139,11.33228098,tehri garhwal,tehri garhwal,TRUE
60,1696694,754753,941941,55.51625691,dehradun,dehradun,TRUE
61,687271,574568,112703,16.39862587,garhwal,garhwal,TRUE
62,483439,413834,69605,14.39788681,pithoragarh,pithoragarh,TRUE
63,259898,250819,9079,3.493293523,bageshwar,bageshwar,TRUE
64,622506,560192,62314,10.01018464,almora,almora,TRUE
65,259648,221305,38343,14.76730035,champawat,champawat,TRUE
66,954605,582871,371734,38.94113272,nainital,nainital,TRUE
67,1648902,1062142,586760,35.58489225,udham singh nagar,udham singh nagar,TRUE
68,1890422,1197328,693094,36.66345398,hardwar,hardwar,TRUE
69,561293,248063,313230,55.80507863,panchkula,panchkula,TRUE
70,1128350,627576,500774,44.38108743,ambala,ambala,TRUE
71,1214205,741376,472829,38.94144728,yamunanagar,yamunanagar,TRUE
72,964655,685430,279225,28.94558158,kurukshetra,kurukshetra,TRUE
73,1074304,838293,236011,21.96873511,kaithal,kaithal,TRUE
74,1505324,1050514,454810,30.21342914,karnal,karnal,TRUE
75,1205437,650352,555085,46.0484455,panipat,panipat,TRUE
76,1450001,996637,453364,31.2664612,sonipat,sonipat,TRUE
77,1334152,1028569,305583,22.90466154,jind,jind,TRUE
78,942011,762423,179588,19.0643209,fatehabad,fatehabad,TRUE
79,1295189,975941,319248,24.64875783,sirsa,sirsa,TRUE
80,1743931,1190443,553488,31.73795294,hisar,hisar,TRUE
81,1634445,1313123,321322,19.65939509,bhiwani,bhiwani,TRUE
82,1061204,615040,446164,42.04318868,rohtak,rohtak,TRUE
83,958405,715066,243339,25.38999692,jhajjar,jhajjar,TRUE
84,922088,789233,132855,14.40806084,mahendragarh,mahendragarh,TRUE
85,900332,666902,233430,25.92710245,rewari,rewari,TRUE
86,1514432,472179,1042253,68.8213799,gurgaon,gurgaon,TRUE
87,1089263,965157,124106,11.39357529,mewat,mewat,TRUE
88,1809733,370878,1438855,79.50647969,faridabad,faridabad,TRUE
