id,sdistri,nfhs5d_total,nfhs4d_total
D17,1,1.6,2.2
D18,1,48.7,70.9
S01,1,68.7,65.1
S02,1,26.7,33.5
S03,1,987,972
S04,1,940,930
S05,1,98.6,60.1
S06,1,74.2,NA
S07,1,99.3,93.7
S08,1,88,89.3
S09,1,67.7,40.4
S10,1,62,48.6
S100,1,1.5,2.2476844541590566
S101,1,6.5,5.793812330715319
S102,1,4.7,5.091985571799321
S103,1,1.9,1.4933129654746742
S104,1,7.9,7.348724289692206
S105,1,10.5,8.224906643203843
S106,1,2.1,4.477792850333576
S107,1,18.1,17.033015298614256
S108,1,11.5,6.194514790802516
S109,1,2.7,0.9867862585848004
S11,1,98.5,98
S110,1,18.9,7.970682187673707
S111,1,0.8,31.6
S112,1,0.4,12.8
S113,1,0.4,36.1
S12,1,10.4,2.3
S128,1,6.8,6.903480803524421
S129,1,49.8,46.78102424910718
S13,1,1.5,NA
S130,1,0,0
S131,1,0.2,0
S14,1,76,66.34417542141324
S16,1,44.9,27
S20,1,3.1,8.6
S20_rev,1,96.9,91.4
S23,1,0,1.8
S28,1,64.5,50.9
S29,1,56.5,34.4
S30,1,25.7,18.2
S31,1,0.3,0
S32,1,6.8,2.1
S33,1,11.6,5.8
S34,1,9.4,6.2
S35,1,2.2,2.2
S36,1,5.9,13.1
S37,1,3.1,6.7
S38,1,8.9,7
S39,1,64.6,33.5
S40,1,83.7,81.3
S41,1,89.2,87.8
S42,1,96.8,91.1
S43,1,29.2,19.5
S44,1,8.5,6.7
S45,1,99.3,76.7
S46,1,90.5,79.5
S47,1,5108,3903
S48,1,NA,NA
S49,1,89.6,14.1
S50,1,97.1,91
S51,1,88.7,74.3
S52,1,2,1.1
S53,1,99,90.4
S54,1,51.7,31.6
S55,1,80.7,47.2
S56,1,50.7,31.9
S57,1,93.2,77.8
S58,1,100,84
S59,1,98.3,98.1
S60,1,93.2,86.2
S61,1,96.5,88.9
S62,1,98.3,87.8
S63,1,42.4,NA
S64,1,0,NA
S65,1,96.5,74.8
S66,1,89,71.9
S67,1,100,100
S68,1,0,0
S69,1,9,12.4
S70,1,95.9,54.7
S71,1,61,28
S72,1,75.6,63.3
