id,nfhs5s_rural,nfhs5s_urban,nfhs5s_total,nfhs4s_total,nfhs3s_total
S01,66.8,82.5,71.8,68.8,NA
S02,28.1,23.1,26.5,28.6,NA
S03,1037,985,1020,991,NA
S04,931,924,929,919,NA
S05,87.5,93.3,89.1,79.7,NA
S06,65.8,83.2,70.8,NA,NA
S07,95.7,99.1,96.8,88,67.17009458393807
S08,94.6,98.7,95.9,94.4,88.1916389471507
S09,64.9,81.5,70.2,48.5,29.680821011039825
S10,43.2,89.7,58.6,43.8,25.639185672661092
S11,93,96.9,94.3,93.1,NA
S12,42.4,38.1,41,28.7,5.031920508721363
S13,12,18.1,13.6,NA,NA
S14,65.9,83,71.5,68.37476673969802,55.07271629584023
S15,81.5,89.6,84.4,84.42835427233561,77.5330719114872
S16,33.7,56.3,41,35.7,22.31933939184788
S17,43.7,62.1,50.2,47.1,34.25376864545346
S18,24.6,51.8,33.3,NA,NA
S19,48.7,72.5,57.1,NA,NA
S20,27,14.7,23.3,26.8,20.547329971155616
S21,21.1,11.3,17.7,20.3,NA
S22,2.1,1.6,2,2.2,NA
S23,7.9,3.8,6.8,7.9,NA
S24,49,27,43,51,NA
S25,27.5,18,24.9,29.5,NA
S26,38.4,26.6,35.2,40.7,NA
S27,45.7,31.5,41.9,49.7,NA
S28,65.6,69.3,66.7,53.5,NA
S29,55.5,58.5,56.5,47.8,NA
S30,38.7,36.3,37.9,36,NA
S31,0.3,0.2,0.3,0.3,NA
S32,1.8,2.7,2.1,1.5,NA
S33,5.4,4.4,5.1,4.1,NA
S34,7.6,13.6,9.5,5.6,NA
S35,0.6,0.4,0.6,0.2,NA
S36,9.9,8.4,9.4,12.9,NA
S37,4.3,3.6,4,5.7,NA
S38,24.3,23,23.9,17.7,NA
S39,61.5,64.7,62.4,46.6,NA
S40,67.9,75.5,70,58.6,NA
S41,54.2,68.1,58.1,51.2,NA
S42,91.7,92.7,92,89,NA
S43,40.2,54,44.1,30.3,NA
S44,22.7,34.4,26,14.4,NA
S45,96.3,94.9,95.9,89.3,NA
S46,75.4,84.6,78,62.4,NA
S47,2770,3385,2916,3197,NA
S48,4.3,3.8,4.2,2.5,NA
S49,76.5,85.7,79.1,NA,NA
S50,86.7,93.8,88.6,78.9,NA
S51,65.3,52.6,61.9,52.1,NA
S52,3.7,2.1,3.2,4.3,NA
S53,87.8,94,89.4,81.4,NA
S54,17.6,32.3,21.5,17.2,NA
S55,46,49.3,47.4,40.9,NA
S56,11.9,22.7,14.3,11.9,NA
S57,76.8,75.5,76.4,62,NA
S58,84,83.3,83.8,77.9,NA
S59,95.4,94.7,95.2,91.9,NA
S60,80.9,79.2,80.5,72.8,NA
S61,87,86,86.7,78.4,NA
S62,88.1,87.1,87.9,81.1,NA
S63,32.4,30.4,31.9,NA,NA
S64,37,34.9,36.4,NA,NA
S65,84.2,83,83.9,62.8,NA
S66,71,71.8,71.2,64.5,NA
S67,97,87.7,94.5,90.7,NA
S68,1.6,11.1,4.2,7.2,NA
S69,7.7,6.2,7.3,9.2,NA
S70,60.1,62.5,60.6,50.6,NA
S71,30.3,31.5,30.5,20.3,NA
S72,68,72.2,68.9,67.9,NA
S73,3,2.3,2.8,2.7,NA
S74,67.8,72.7,69,73.2,NA
S75,40.7,44.7,41.8,41.6,NA
S76,65.1,59.6,63.7,54.9,NA
S77,43.9,52,45.9,42.7,NA
S78,10.8,11.8,11.1,8.7,NA
S79,12,14.2,12.7,14.3,NA
S80,11,12.3,11.3,9.6,NA
S81,37.3,30.1,35.5,38.4,47.82993486421631
S82,19.5,18.5,19.3,21,19.987997322533396
S83,7.7,7.6,7.7,7.5,23.504216205848778
S84,33.8,27.3,32.1,35.8,42.44158430923611
S85,3.2,4.2,3.4,2.1,1.5484133828926672
S86,21.2,13.2,18.7,22.9,35.481160853101734
S87,17.8,13,16.2,20.2,33.684703188708795
S88,19.7,33.2,24,20.6,12.599819454572033
S89,19.3,29.8,22.9,18.9,9.707055150085397
S90,55.2,59.9,56.7,NA,NA
S91,46.4,50.1,47.7,NA,NA
S92,68.3,64.2,67.1,58.6,69.36823325516478
S93,58.7,54.1,57.2,53.2,NA
S94,54.3,45.7,52.2,50.4,NA
S95,58.5,53.8,57,53.1,NA
S96,60.2,56.5,59.1,54.1,NA
S97,27.4,20.4,25,22.7,NA
S98,33.9,25,31.1,29.2,NA
S99,5.9,6.7,6.1,3.455683320359546,NA
S100,5.5,8,6.3,2.820962378004388,NA
S101,12.3,16.3,13.5,7.041830560919626,NA
S102,7,7.8,7.3,4.776801113006768,NA
S103,6.5,8.5,7.2,4.420901275248991,NA
S104,14.5,17.9,15.6,10.016232787685015,NA
S105,11.9,13.6,12.4,8.658732396051432,NA
S106,5.2,5.2,5.2,2.789927042531121,NA
S107,20.2,23.6,21.3,12.465010163320015,NA
S108,15,17.1,15.7,14.271818593803086,NA
S109,5.5,5.9,5.7,3.7785905132718787,NA
S110,22.7,26.6,24,17.465738683773328,NA
S111,1.7,2.2,1.9,NA,NA
S112,0.7,1.2,0.9,NA,NA
S113,0.8,1.2,0.9,NA,NA
S114,1.3,1,1.2,NA,NA
S115,18.2,28.6,21.6,20.9,NA
S116,27.1,37.5,30.7,32.5,NA
S117,64.7,76.1,68.4,54.9,NA
S118,79.6,86.4,82,77.4,NA
S119,87.7,91,88.7,84,NA
S120,25.6,25,25.4,24.6,NA
S121,45.7,38.3,43.3,38.4,NA
S122,77.4,80.9,78.6,53,NA
S123,46.6,69.4,54,45.9,NA
S124,72.3,89.4,77.3,57.6,NA
S125,31.6,24.2,29.3,31.2,NA
S126,3.4,2.5,3.1,3.9,NA
S127,1.6,1.1,1.5,1.5,NA
S128,10.5,5.4,8.9,6.796009057861974,10.853664959086212
S129,42.7,28.8,38,45.52105701619668,57.620943834648266
S130,1.6,0.6,1.3,1.2345701792228991,2.1975716424890517
S131,19.9,16.5,18.8,29.509268328172165,32.04501245337944
S20_rev,73,85.3,76.7,73.2,79.45267002884438
