ID,v024_nfhs4,sdistri,nfhs4_statecode,nfhs4_state,nfhs4_district,nfhs4d_total
S01,1,638,AN,Andaman & Nicobar Islands,Nicobar,77.2
S11,1,638,AN,Andaman & Nicobar Islands,Nicobar,99.7
S12,1,638,AN,Andaman & Nicobar Islands,Nicobar,4.3
V12,1,638,AN,Andaman & Nicobar Islands,Nicobar,78.8
S15,1,638,AN,Andaman & Nicobar Islands,Nicobar,91.3
S16,1,638,AN,Andaman & Nicobar Islands,Nicobar,43.7
S20,1,638,AN,Andaman & Nicobar Islands,Nicobar,7.3
S21,1,638,AN,Andaman & Nicobar Islands,Nicobar,NA
S23,1,638,AN,Andaman & Nicobar Islands,Nicobar,3.8
S28,1,638,AN,Andaman & Nicobar Islands,Nicobar,38
S29,1,638,AN,Andaman & Nicobar Islands,Nicobar,37.8
S02,1,638,AN,Andaman & Nicobar Islands,Nicobar,25.4
S30,1,638,AN,Andaman & Nicobar Islands,Nicobar,35.6
S31,1,638,AN,Andaman & Nicobar Islands,Nicobar,0
S32,1,638,AN,Andaman & Nicobar Islands,Nicobar,0
S33,1,638,AN,Andaman & Nicobar Islands,Nicobar,1.1
S34,1,638,AN,Andaman & Nicobar Islands,Nicobar,1.2
S36,1,638,AN,Andaman & Nicobar Islands,Nicobar,18
S37,1,638,AN,Andaman & Nicobar Islands,Nicobar,14.2
S38,1,638,AN,Andaman & Nicobar Islands,Nicobar,48.1
S39,1,638,AN,Andaman & Nicobar Islands,Nicobar,87.6
S40,1,638,AN,Andaman & Nicobar Islands,Nicobar,62
S03,1,638,AN,Andaman & Nicobar Islands,Nicobar,957
S41,1,638,AN,Andaman & Nicobar Islands,Nicobar,64.9
S42,1,638,AN,Andaman & Nicobar Islands,Nicobar,92.4
S43,1,638,AN,Andaman & Nicobar Islands,Nicobar,19
V33,1,638,AN,Andaman & Nicobar Islands,Nicobar,16.6
S45,1,638,AN,Andaman & Nicobar Islands,Nicobar,100
S46,1,638,AN,Andaman & Nicobar Islands,Nicobar,74
V36,1,638,AN,Andaman & Nicobar Islands,Nicobar,0.6
S47,1,638,AN,Andaman & Nicobar Islands,Nicobar,1787
S48,1,638,AN,Andaman & Nicobar Islands,Nicobar,NA
S49,1,638,AN,Andaman & Nicobar Islands,Nicobar,33
S04,1,638,AN,Andaman & Nicobar Islands,Nicobar,1060
S50,1,638,AN,Andaman & Nicobar Islands,Nicobar,96.1
S51,1,638,AN,Andaman & Nicobar Islands,Nicobar,96.1
S52,1,638,AN,Andaman & Nicobar Islands,Nicobar,2.9
S53,1,638,AN,Andaman & Nicobar Islands,Nicobar,98
S54,1,638,AN,Andaman & Nicobar Islands,Nicobar,4.6
S55,1,638,AN,Andaman & Nicobar Islands,Nicobar,NA
S56,1,638,AN,Andaman & Nicobar Islands,Nicobar,4.8
S57,1,638,AN,Andaman & Nicobar Islands,Nicobar,45.5
S59,1,638,AN,Andaman & Nicobar Islands,Nicobar,61.1
S60,1,638,AN,Andaman & Nicobar Islands,Nicobar,56.8
S05,1,638,AN,Andaman & Nicobar Islands,Nicobar,99.3
S61,1,638,AN,Andaman & Nicobar Islands,Nicobar,55.9
S62,1,638,AN,Andaman & Nicobar Islands,Nicobar,46.9
S65,1,638,AN,Andaman & Nicobar Islands,Nicobar,44.4
V53,1,638,AN,Andaman & Nicobar Islands,Nicobar,71.6
S67,1,638,AN,Andaman & Nicobar Islands,Nicobar,100
S68,1,638,AN,Andaman & Nicobar Islands,Nicobar,0
S69,1,638,AN,Andaman & Nicobar Islands,Nicobar,5.1
S70,1,638,AN,Andaman & Nicobar Islands,Nicobar,NA
S71,1,638,AN,Andaman & Nicobar Islands,Nicobar,NA
S72,1,638,AN,Andaman & Nicobar Islands,Nicobar,NA
V06,1,638,AN,Andaman & Nicobar Islands,Nicobar,99.4
S73,1,638,AN,Andaman & Nicobar Islands,Nicobar,1.4
S74,1,638,AN,Andaman & Nicobar Islands,Nicobar,NA
S75,1,638,AN,Andaman & Nicobar Islands,Nicobar,34.9
S76,1,638,AN,Andaman & Nicobar Islands,Nicobar,NA
S77,1,638,AN,Andaman & Nicobar Islands,Nicobar,NA
S78,1,638,AN,Andaman & Nicobar Islands,Nicobar,10.2
S79,1,638,AN,Andaman & Nicobar Islands,Nicobar,NA
S80,1,638,AN,Andaman & Nicobar Islands,Nicobar,9
S81,1,638,AN,Andaman & Nicobar Islands,Nicobar,20.3
S82,1,638,AN,Andaman & Nicobar Islands,Nicobar,7.4
V07,1,638,AN,Andaman & Nicobar Islands,Nicobar,99.8
S83,1,638,AN,Andaman & Nicobar Islands,Nicobar,2.3
S84,1,638,AN,Andaman & Nicobar Islands,Nicobar,10.5
S86,1,638,AN,Andaman & Nicobar Islands,Nicobar,4.5
S87,1,638,AN,Andaman & Nicobar Islands,Nicobar,4.6
S88,1,638,AN,Andaman & Nicobar Islands,Nicobar,18.7
S89,1,638,AN,Andaman & Nicobar Islands,Nicobar,31.7
S92,1,638,AN,Andaman & Nicobar Islands,Nicobar,50.5
S93,1,638,AN,Andaman & Nicobar Islands,Nicobar,54.5
S94,1,638,AN,Andaman & Nicobar Islands,Nicobar,NA
S95,1,638,AN,Andaman & Nicobar Islands,Nicobar,55.1
V08,1,638,AN,Andaman & Nicobar Islands,Nicobar,86.8
S97,1,638,AN,Andaman & Nicobar Islands,Nicobar,26.5
V81,1,638,AN,Andaman & Nicobar Islands,Nicobar,2.5
V82,1,638,AN,Andaman & Nicobar Islands,Nicobar,1.1
V83,1,638,AN,Andaman & Nicobar Islands,Nicobar,4
V84,1,638,AN,Andaman & Nicobar Islands,Nicobar,2.2
V85,1,638,AN,Andaman & Nicobar Islands,Nicobar,18.6
V86,1,638,AN,Andaman & Nicobar Islands,Nicobar,2.1
V87,1,638,AN,Andaman & Nicobar Islands,Nicobar,1
V88,1,638,AN,Andaman & Nicobar Islands,Nicobar,36.7
V89,1,638,AN,Andaman & Nicobar Islands,Nicobar,4.6
S10,1,638,AN,Andaman & Nicobar Islands,Nicobar,39.3
V90,1,638,AN,Andaman & Nicobar Islands,Nicobar,1.7
S111,1,638,AN,Andaman & Nicobar Islands,Nicobar,8.3
S112,1,638,AN,Andaman & Nicobar Islands,Nicobar,3
S113,1,638,AN,Andaman & Nicobar Islands,Nicobar,9.3
S01,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,83.8
S11,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,99.4
S12,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,3.2
V12,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,77.9
S15,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,82.8
S16,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,39.2
S20,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,25.9
S21,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,NA
S23,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,6.5
S28,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,66.9
S29,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,62
S02,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,22.6
S30,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,50
S31,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,0
S32,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,3.9
S33,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,2.6
S34,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,5.5
S36,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,12.2
