id,v024_label,v024_nfhs3,state,nfhs5s_urban,nfhs5s_rural,nfhs5s_total,nfhs4s_total
S01,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,86.5,81.8,83.5,84.7
S02,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,22.7,19.7,20.8,23.9
S03,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,1023,929,963,977
S04,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,941,891,914,859
S05,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,96.9,97.8,97.4,97.9
S06,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,94.8,88.8,90.9,NA
S07,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,99.5,96.5,97.6,97.2
S08,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,98,95.3,96.3,95
S09,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,88,88,88,75.4
S10,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,95.6,71,79.8,63.5
S11,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,99.7,99.7,99.7,99.3
S12,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,1.4,1.6,1.6,5.7
S13,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,33.7,42.6,NA
S14,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,86.6,85.6,86,84.07751734272871
S15,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,89.3,94.7,92.5,88.48059963959504
S16,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,59.7,47.6,52.5,49.1
S17,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,59.4,47.7,52.3,52.6
S18,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,44.1,27.9,34.8,NA
S19,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,54.6,41.1,46.5,NA
S20,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,17.4,15.3,16.2,16.4
S21,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,5.8,7.1,9.7
S22,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,1.4,1.2,1.3,1.4
S23,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,1.5,4,3,4.7
S24,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,36,13,22,28
S25,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,2.8,12.3,7.3
S26,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,8.4,20.6,9.8
S27,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,9.5,24.5,13
S28,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,54.4,73.4,65.8,50.8
S29,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,48.5,63.9,57.7,48.3
S30,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,31,44.6,39.2,39.9
S31,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,0,0.3,0.2,0
S32,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,2.2,5,3.9,2.1
S33,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,2.2,4.5,3.6,2.2
S34,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,12.1,8.2,9.8,4.2
S35,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,0.5,0.1,0.3,0
S36,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,18.3,10.3,13.5,15.5
S37,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,8.8,4.3,6.1,8.1
S38,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,30.1,31,30.6,37.2
S39,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,88,80.5,83.4,66.4
S40,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,81.2,73.5,77.1,68.4
S41,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,86,81,83.4,92.1
S42,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,92.8,89,90.8,91.8
S43,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,81.2,80.7,80.9,58.4
S44,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,64.8,41,52.1,33.7
S45,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,100,97.9,98.9,97.7
S46,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,89.4,88.5,88.9,75
S47,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,4230,2089,2924,1278
S48,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,NA,NA,NA
S49,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,90,91.8,91,NA
S50,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,99.2,98.7,99,96.4
S51,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,81.8,92.1,87.3,92
S52,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,0,0.4,0.2,1
S53,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,96.7,97.8,97.3,97.2
S54,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,40.8,20.2,29.9,19.3
S55,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,NA,79.2,NA
S56,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,33.6,15.8,23.6,16.9
S57,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,72.1,84.8,77.8,73.2
S58,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,96.8,96,84.8
S59,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,100,95.9,98.2,87.4
S60,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,75.7,87.4,80.9,83.9
S61,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,93.1,92.1,92.6,83.5
S62,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,79.3,85.5,82.1,76.4
S63,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,34.6,28.6,31.9,NA
S64,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,0,0.7,0.3,NA
S65,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,83,88.4,85.4,83.1
S66,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,84.3,87.2,86,76
S67,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,90.9,100,94.9,94.4
S68,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,5.7,0,3.2,5.6
S69,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,6.2,5.1,5.6,5.3
S70,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,NA,65,65
S71,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,NA,44.1,8.3
S72,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,NA,83.3,53.5
S73,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,0,3.1,1.7,1.5
S74,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,81,64.6,72.7,75.8
S75,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,45.8,47.8,46.9,41.9
S76,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,NA,73.3,66.8
S77,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,NA,NA,45.1
S78,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,24.3,12.4,18.5,13.5
S79,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,NA,NA,17.6
S80,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,27.7,10.6,19.5,14.2
S81,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,18.2,26.4,22.5,23.3
S82,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,12.8,19,16,18.9
S83,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,5.1,4.6,4.8,7.5
S84,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,15.1,31.1,23.7,21.6
S85,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,5.7,5.2,5.4,3
S86,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,11.3,8.2,9.4,13.1
S87,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,7.8,1.6,4,8.7
S88,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,41.7,35.7,38.1,31.8
S89,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,37,50.6,45.3,38.2
S90,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,72.2,80.7,77.3,NA
S91,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,61.3,53.7,56.6,NA
S92,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,47.8,33.3,40,49
S93,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,57.4,57.7,57.6,65.8
S94,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,55.5,53.7,61.4
S95,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,57.2,57.6,57.5,65.7
S96,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,44.1,45.5,44.9,68.1
S97,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,9.2,20.4,16.1,30.8
S98,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,25.6,27.1,43
S99,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,8.6,6.7,7.4,4.303039073429247
S100,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,9.4,7.3,8.1,5.19744991603336
S101,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,19.6,16.2,17.5,11.965325177571936
S102,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,9.5,9.1,9.3,7.059471994570552
S103,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,8.6,6.6,7.3,9.50820538111441
S104,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,19.4,17.1,17.9,17.107706330604195
S105,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,12.6,16.9,15.3,8.858749435069505
S106,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,5,4.8,4.9,2.252320638472166
S107,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,23.4,26.4,25.3,12.15663493807715
S108,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,17.6,22.1,20.6,23.633265409665295
S109,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,6.5,6.4,6.5,7.761123256565107
S110,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,28.2,31.2,30.2,30.485118950428795
S111,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,1.7,2.8,2.4,NA
S112,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,0,2.6,1.6,NA
S113,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,10,10.2,10.1,NA
S114,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,3.5,4,3.8,NA
S115,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,10.1,18.4,14.9,29.3
S116,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,36.8,33.4,34.7,44
S117,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,81.4,72.5,76.3,59.5
S118,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,67.5,62.2,64.3,75.3
S119,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,93,95.5,94.5,92.6
S120,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,34.7,17.1,24.6,21
S121,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,10.9,19.4,15.8,29.7
S122,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,88.5,89.8,89.2,81.8
S123,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,80.8,80.9,80.8,66.9
S124,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,98.5,99.1,98.9,90.3
S125,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,23.2,13.2,17.2,18.4
S126,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,0,0.5,0.3,3.2
S127,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,1.4,2.2,1.8,2.9
S128,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,15,41.1,31.3,25.113729179443965
S129,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,44.7,66.4,58.7,61.61097723997343
S130,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,0.7,7.6,5,2.466070637081481
S131,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,33.8,41.9,39.1,51.66311449026993
S01,andhra pradesh,andhra pradesh,Andhra Pradesh,75.5,61.2,65.6,62
S02,andhra pradesh,andhra pradesh,Andhra Pradesh,21.3,22.6,22.2,23.7
S03,andhra pradesh,andhra pradesh,Andhra Pradesh,1024,1055,1045,1021
S04,andhra pradesh,andhra pradesh,Andhra Pradesh,877,957,934,914
S05,andhra pradesh,andhra pradesh,Andhra Pradesh,93.8,91.6,92.2,82.7
S06,andhra pradesh,andhra pradesh,Andhra Pradesh,89.4,76.6,80.2,NA
S07,andhra pradesh,andhra pradesh,Andhra Pradesh,99.6,99.4,99.5,99.2
S08,andhra pradesh,andhra pradesh,Andhra Pradesh,99.4,95.4,96.7,95.6
S09,andhra pradesh,andhra pradesh,Andhra Pradesh,89.1,72.1,77.3,54.4
S10,andhra pradesh,andhra pradesh,Andhra Pradesh,96.6,77.9,83.6,62
S11,andhra pradesh,andhra pradesh,Andhra Pradesh,89.3,80.4,83.1,81.6
S12,andhra pradesh,andhra pradesh,Andhra Pradesh,62.2,73.7,70.2,74.6
S13,andhra pradesh,andhra pradesh,Andhra Pradesh,10.2,9.8,9.9,NA
S14,andhra pradesh,andhra pradesh,Andhra Pradesh,79,63.8,68.6,62.9340162027855
S15,andhra pradesh,andhra pradesh,Andhra Pradesh,86.4,76.3,79.5,79.38283032317266
S16,andhra pradesh,andhra pradesh,Andhra Pradesh,51.2,34.3,39.6,34.3
S17,andhra pradesh,andhra pradesh,Andhra Pradesh,59.5,42.5,47.9,51.3
S18,andhra pradesh,andhra pradesh,Andhra Pradesh,33.9,15.4,21,NA
S19,andhra pradesh,andhra pradesh,Andhra Pradesh,65.1,41.5,48.8,NA
S20,andhra pradesh,andhra pradesh,Andhra Pradesh,21.7,32.9,29.3,33
S21,andhra pradesh,andhra pradesh,Andhra Pradesh,13.1,15.2,14.5,15.8
S22,andhra pradesh,andhra pradesh,Andhra Pradesh,1.5,1.8,1.7,1.8
S23,andhra pradesh,andhra pradesh,Andhra Pradesh,9.3,14.1,12.6,11.8
S24,andhra pradesh,andhra pradesh,Andhra Pradesh,40,80,67,83
S25,andhra pradesh,andhra pradesh,Andhra Pradesh,14.4,22.1,19.9,23.6
S26,andhra pradesh,andhra pradesh,Andhra Pradesh,29.8,30.4,30.3,34.9
S27,andhra pradesh,andhra pradesh,Andhra Pradesh,33.7,35.8,35.2,40.8
S28,andhra pradesh,andhra pradesh,Andhra Pradesh,70.8,71.2,71.1,69.5
S29,andhra pradesh,andhra pradesh,Andhra Pradesh,70.3,71.1,70.8,69.4
S30,andhra pradesh,andhra pradesh,Andhra Pradesh,68.3,70.2,69.6,68.3
S31,andhra pradesh,andhra pradesh,Andhra Pradesh,0.6,0.4,0.4,0.6
S32,andhra pradesh,andhra pradesh,Andhra Pradesh,0.2,0.1,0.2,0.2
S33,andhra pradesh,andhra pradesh,Andhra Pradesh,0.1,0.1,0.1,0.2
S34,andhra pradesh,andhra pradesh,Andhra Pradesh,0.9,0.3,0.5,0.2
S35,andhra pradesh,andhra pradesh,Andhra Pradesh,0,0,0,0
S36,andhra pradesh,andhra pradesh,Andhra Pradesh,5.2,4.4,4.7,4.7
S37,andhra pradesh,andhra pradesh,Andhra Pradesh,2.3,2.8,2.6,3.1
S38,andhra pradesh,andhra pradesh,Andhra Pradesh,18.6,18.6,18.6,19.7
S39,andhra pradesh,andhra pradesh,Andhra Pradesh,33.6,27.1,28.9,25
S40,andhra pradesh,andhra pradesh,Andhra Pradesh,82.7,81.3,81.7,82.3
S41,andhra pradesh,andhra pradesh,Andhra Pradesh,67.2,67.6,67.5,76.3
S42,andhra pradesh,andhra pradesh,Andhra Pradesh,92.5,92.9,92.8,94.9
S43,andhra pradesh,andhra pradesh,Andhra Pradesh,76.7,67.6,70.3,56.1
S44,andhra pradesh,andhra pradesh,Andhra Pradesh,45.6,39.3,41.1,30.6
S45,andhra pradesh,andhra pradesh,Andhra Pradesh,94.2,97.5,96.5,92.6
S46,andhra pradesh,andhra pradesh,Andhra Pradesh,92.2,90.1,90.7,79.7
S47,andhra pradesh,andhra pradesh,Andhra Pradesh,2659,3248,3105,2322
S48,andhra pradesh,andhra pradesh,Andhra Pradesh,NA,14.2,17.2,9.3
S49,andhra pradesh,andhra pradesh,Andhra Pradesh,92.9,92.1,92.3,NA
S50,andhra pradesh,andhra pradesh,Andhra Pradesh,98.6,95.7,96.5,91.5
S51,andhra pradesh,andhra pradesh,Andhra Pradesh,41.8,53.7,50.4,38.3
S52,andhra pradesh,andhra pradesh,Andhra Pradesh,1,1.4,1.3,3.7
S53,andhra pradesh,andhra pradesh,Andhra Pradesh,98.3,95.2,96.1,92.1
S54,andhra pradesh,andhra pradesh,Andhra Pradesh,50.5,39.3,42.4,40.1
S55,andhra pradesh,andhra pradesh,Andhra Pradesh,66.1,61.4,63,57
S56,andhra pradesh,andhra pradesh,Andhra Pradesh,30.9,25.2,26.6,25.5
S57,andhra pradesh,andhra pradesh,Andhra Pradesh,69.3,74.7,73,65.3
S58,andhra pradesh,andhra pradesh,Andhra Pradesh,89.1,87.5,88,79.9
S59,andhra pradesh,andhra pradesh,Andhra Pradesh,92.4,95.6,94.6,97.3
S60,andhra pradesh,andhra pradesh,Andhra Pradesh,70.6,76.9,75,72.3
S61,andhra pradesh,andhra pradesh,Andhra Pradesh,84.8,89.9,88.4,89
S62,andhra pradesh,andhra pradesh,Andhra Pradesh,83.7,88.6,87.1,89.4
S63,andhra pradesh,andhra pradesh,Andhra Pradesh,27.1,31.3,30,NA
S64,andhra pradesh,andhra pradesh,Andhra Pradesh,72,77,75.5,NA
S65,andhra pradesh,andhra pradesh,Andhra Pradesh,83,86.4,85.3,68.8
S66,andhra pradesh,andhra pradesh,Andhra Pradesh,81.7,79.7,80.3,79.3
S67,andhra pradesh,andhra pradesh,Andhra Pradesh,86.4,97.4,94.2,91.6
S68,andhra pradesh,andhra pradesh,Andhra Pradesh,11.5,1.3,4.3,8.4
S69,andhra pradesh,andhra pradesh,Andhra Pradesh,6.2,7.6,7.2,6.6
S70,andhra pradesh,andhra pradesh,Andhra Pradesh,64.2,61.9,62.5,47.6
S71,andhra pradesh,andhra pradesh,Andhra Pradesh,32.8,44.7,41.8,30.1
S72,andhra pradesh,andhra pradesh,Andhra Pradesh,77.6,73.3,74.3,72.7
S73,andhra pradesh,andhra pradesh,Andhra Pradesh,2,2.5,2.4,0.5
S74,andhra pradesh,andhra pradesh,Andhra Pradesh,69.2,70.6,70.2,77.3
S75,andhra pradesh,andhra pradesh,Andhra Pradesh,51.6,52.2,52,40
S76,andhra pradesh,andhra pradesh,Andhra Pradesh,61.4,70.4,68,70.2
S77,andhra pradesh,andhra pradesh,Andhra Pradesh,67.3,45.4,50.8,56.1
S78,andhra pradesh,andhra pradesh,Andhra Pradesh,15.2,5.8,8.2,6.5
S79,andhra pradesh,andhra pradesh,Andhra Pradesh,19.5,7.8,12.1,11.9
S80,andhra pradesh,andhra pradesh,Andhra Pradesh,16.7,6.3,9.3,7.6
