id,v024_label,v024_nfhs3,state,nfhs5s_urban,nfhs5s_rural,nfhs5s_total,nfhs4s_total,nfhs3s_total,nfhs3s_urban,nfhs3s_rural,nfhs4s_urban,nfhs4s_rural
S01,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,86.5,81.8,83.5,84.7,NA,NA,NA,NA,NA
S02,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,22.7,19.7,20.8,23.9,NA,NA,NA,NA,NA
S03,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,1023,929,963,977,NA,NA,NA,NA,NA
S04,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,941,891,914,859,NA,NA,NA,NA,NA
S05,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,96.9,97.8,97.4,97.9,NA,NA,NA,NA,NA
S06,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,94.8,88.8,90.9,NA,NA,NA,NA,NA,NA
S07,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,99.5,96.5,97.6,97.2,NA,NA,NA,99.64778615080373,95.42110222674026
S08,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,98,95.3,96.3,95,NA,NA,NA,100,91.36615329411309
S09,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,88,88,88,75.4,NA,NA,NA,87.5411237669627,66.38713225411115
S10,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,95.6,71,79.8,63.5,NA,NA,NA,85.35641145474487,47.44947696808528
S11,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,99.7,99.7,99.7,99.3,NA,NA,NA,NA,NA
S12,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,1.4,1.6,1.6,5.7,NA,NA,NA,7.723680583696201,4.095793196712378
S13,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,33.7,42.6,NA,NA,NA,NA,NA,NA
S14,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,86.6,85.6,86,84.07751734272871,NA,NA,NA,89.0362718040318,80.21686971432331
S15,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,89.3,94.7,92.5,87.69061611984853,NA,NA,NA,95.01358952966407,82.62194892235362
S16,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,59.7,47.6,52.5,49.1,NA,NA,NA,57.34384156702292,42.59396673176529
S17,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,59.4,47.7,52.3,52.6,NA,NA,NA,69.75976583662676,41.5218457072158
S18,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,44.1,27.9,34.8,NA,NA,NA,NA,NA,NA
S19,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,54.6,41.1,46.5,NA,NA,NA,NA,NA,NA
S20,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,17.4,15.3,16.2,16.4,NA,NA,NA,19.761097003048338,25.293483997987725
S21,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,5.8,7.1,9.7,NA,NA,NA,NA,NA
S22,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,1.4,1.2,1.3,1.4,NA,NA,NA,NA,NA
S23,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,1.5,4,3,4.7,NA,NA,NA,NA,NA
S24,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,36,13,22,28,NA,NA,NA,NA,NA
S25,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,2.8,12.3,7.3,NA,NA,NA,NA,NA
S26,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,8.4,20.6,9.8,NA,NA,NA,NA,NA
S27,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,9.5,24.5,13,NA,NA,NA,NA,NA
S28,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,54.4,73.4,65.8,50.8,NA,NA,NA,NA,NA
S29,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,48.5,63.9,57.7,48.3,NA,NA,NA,NA,NA
S30,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,31,44.6,39.2,39.9,NA,NA,NA,NA,NA
S31,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,0,0.3,0.2,0,NA,NA,NA,NA,NA
S32,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,2.2,5,3.9,2.1,NA,NA,NA,NA,NA
S33,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,2.2,4.5,3.6,2.2,NA,NA,NA,NA,NA
S34,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,12.1,8.2,9.8,4.2,NA,NA,NA,NA,NA
S35,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,0.5,0.1,0.3,0,NA,NA,NA,NA,NA
S36,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,18.3,10.3,13.5,15.5,NA,NA,NA,NA,NA
S37,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,8.8,4.3,6.1,8.1,NA,NA,NA,NA,NA
S38,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,30.1,31,30.6,37.2,NA,NA,NA,NA,NA
S39,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,88,80.5,83.4,66.4,NA,NA,NA,NA,NA
S40,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,81.2,73.5,77.1,68.4,NA,NA,NA,NA,NA
S41,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,86,81,83.4,92.1,NA,NA,NA,NA,NA
S42,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,92.8,89,90.8,91.8,NA,NA,NA,NA,NA
S43,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,81.2,80.7,80.9,58.4,NA,NA,NA,NA,NA
S44,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,64.8,41,52.1,33.7,NA,NA,NA,NA,NA
