v025,state,id,variable,mean,lci,uci
1,andhra pradesh,S86,nfhs3s_urban,22.825302911909596,18.976682975093347,26.673922848725844
1,andhra pradesh,S88,nfhs3s_urban,29.40388347880813,24.93478031030495,33.8729866473113
1,andhra pradesh,S14,nfhs3s_urban,80.15655642251465,76.67474768076916,83.63836516426015
1,andhra pradesh,S16,nfhs3s_urban,41.7746044796448,36.30992262490069,47.23928633438891
1,andhra pradesh,S20,nfhs3s_urban,30.513751627696976,26.342594537678842,34.68490871771511
1,andhra pradesh,S20_rev,nfhs3s_urban,69.48624837230301,65.31509128228488,73.65740546232115
1,andhra pradesh,S128,nfhs3s_urban,1.190465695905852,0.4244529733236643,1.9564784184880397
1,andhra pradesh,S130,nfhs3s_urban,0.07028291055441988,0.011541612969767558,0.1290242081390722
1,andhra pradesh,S15,nfhs3s_urban,87.74177421864663,84.76572138497255,90.71782705232071
1,andhra pradesh,S17,nfhs3s_urban,47.051320183366876,40.64739540573479,53.45524496099897
1,andhra pradesh,S87,nfhs3s_urban,22.857026451795594,19.914002451971385,25.800050451619803
1,andhra pradesh,S89,nfhs3s_urban,18.78773789568787,15.921488836077263,21.65398695529847
1,andhra pradesh,S129,nfhs3s_urban,35.70824930625244,31.634195641745837,39.78230297075905
1,andhra pradesh,S131,nfhs3s_urban,39.20488681905615,35.452513928799185,42.957259709313114
1,andhra pradesh,S81,nfhs3s_urban,30.028705802801436,25.69449846786782,34.36291313773505
1,andhra pradesh,S82,nfhs3s_urban,21.264837711994456,17.6619780432402,24.86769738074871
1,andhra pradesh,S83,nfhs3s_urban,10.155306429536036,6.97004657916034,13.34056627991173
1,andhra pradesh,S84,nfhs3s_urban,26.63161155585791,20.62336550785458,32.63985760386124
1,andhra pradesh,S85,nfhs3s_urban,3.6752271623519537,1.393069453333003,5.9573848713709046
1,andhra pradesh,S92,nfhs3s_urban,65.37878267272596,59.654347932993176,71.10321741245873
1,andhra pradesh,S07,nfhs3s_urban,94.53176026726656,92.18119080481615,96.88232972971697
1,andhra pradesh,S08,nfhs3s_urban,95.81635761646668,92.39112903403974,99.24158619889361
1,andhra pradesh,S09,nfhs3s_urban,33.61131529759373,26.78426823947569,40.43836235571176
1,andhra pradesh,S10,nfhs3s_urban,51.870838711776145,43.26957671232109,60.4721007112312
1,andhra pradesh,S12,nfhs3s_urban,7.165215710873088,2.9584278514992466,11.37200357024693
1,arunachal pradesh,S86,nfhs3s_urban,29.58984375,23.0143535710678,36.1653339289322
1,arunachal pradesh,S88,nfhs3s_urban,15.4296875,11.996250366623057,18.863124633376945
1,arunachal pradesh,S14,nfhs3s_urban,71.95121951219512,64.10269558192874,79.79974344246149
1,arunachal pradesh,S16,nfhs3s_urban,42.23385689354276,32.89338323790728,51.574330549178235
1,arunachal pradesh,S20,nfhs3s_urban,21.076233183856502,15.326956468270952,26.82550989944205
1,arunachal pradesh,S20_rev,nfhs3s_urban,78.9237668161435,73.17449010055795,84.67304353172904
